Part,Value,Device,Package,Description,Link to Part Website,Store Name,Quantity,Unit Price,Total Price,
C1,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,1,$1.24,,CAP-12416
C2,1.0uF,1.0UF-0402-16V-10%,402,1µF ceramic capacitors,http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,CAP-12417
C3,10uF,10UF-0603-6.3V-20%,603,10.0µF ceramic capacitors,http://www.mouser.com/ProductDetail/Murata-Electronics/GRM188R60J106ME47D/?qs=sGAEpiMZZMs0AnBnWHyRQFQYdTDrJniY4E0Jk0DRoCg%3d,Mouser,,$0.17,,CAP-11015
C4,10uF,10UF-0603-6.3V-20%,603,10.0µF ceramic capacitors,http://www.mouser.com/ProductDetail/Murata-Electronics/GRM188R60J106ME47D/?qs=sGAEpiMZZMs0AnBnWHyRQFQYdTDrJniY4E0Jk0DRoCg%3d,Mouser,,$0.17,,CAP-11015
C5,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C6,1.0uF,1.0UF-0402-16V-10%,402,1µF ceramic capacitors,http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,CAP-12417
C7,10uF,10UF-0603-6.3V-20%,603,10.0µF ceramic capacitors,http://www.mouser.com/ProductDetail/Murata-Electronics/GRM188R60J106ME47D/?qs=sGAEpiMZZMs0AnBnWHyRQFQYdTDrJniY4E0Jk0DRoCg%3d,Mouser,,$0.17,,CAP-11015
C8,0.8uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GRM155R61A824KE15D/?qs=sGAEpiMZZMs0AnBnWHyRQCxvYDcCBBVRsMJMHmtNsXc%3d,Mouser,,0.17,,
C9,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C10,1.0uF,1.0UF-0402-16V-10%,402,1µF ceramic capacitors,http://www.mouser.com/ProductDetail/AVX/04026C105KAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQHZRmD76Lk0UbFlc%252b4vkiNJTEKHPFmPYNg%3d%3d,Mouser,,$0.25,,CAP-12417
